subject_curie	subject_name	predicate	object_curie	object_name	supporting_text	supporting_text_id	subject_location_in_text	object_location_in_text	extraction_confidence_score	supporting_document_year	supporting_text_section_type	predicted	support	subject_mentioned	object_mentioned	reasoning	runtime_seconds
DRUGBANK:DB06075	Linsitinib	biolink:affects	UniProtKB:P09104	ENOG_HUMAN Gamma-enolase (sprot)	In subcutaneous xenograft model, treatment of mice with linsitinib was found to decrease the growth rates and sizes of tumors originating from Colo357 cells overexpressing WT ENO2 but had no effect on the growth rates and sizes of tumors derived from cells expressing K394-mutant ENO2 (Fig. 6a?c).	tmkp:ef3640672307ebb5c1c79df8619b125be7c4dd632c7c7b14dcd38a992b2d2e87	[56, 66]	[175, 179]	0.9997266	2020	RESULTS	False	no	True	True	The sentence mentions both linsitinib and ENO2, but it describes how ENO2 status influences the drug's effect on tumor growth, not that linsitinib directly alters the state or quality of ENO2. Hence it does not support the 'affects' relationship.	21.80495262145996
DRUGBANK:DB15753	Interferon Gamma	biolink:affects	UniProtKB:O15205	UBD_HUMAN Ubiquitin D (sprot)	Subsequently, IFN? robustly upregulated FAT10 expression compared to a milder induction seen with TNF? or lipopolysaccharide (LPS) stimulation.	tmkp:864936090fcd5c99da69467b48952350fb361258bae4cc2dc5a3fe07bd3f7ee3	[14, 18]	[40, 45]	0.9995048	2020	abstract	True	yes	True	True	The sentence states that IFN (interpreted as interferon‑γ) robustly up‑regulated FAT10 expression. FAT10 is the protein product of the UBD gene (ubiquitin D). Thus interferon‑γ directly affects the level of UBD, matching the 'affects' predicate.	23.854211807250977
DRUGBANK:DB12771	Hydroxytyrosol	biolink:affects	UniProtKB:P05089	ARGI1_HUMAN Arginase-1 (sprot)	At the same time, HT inhibited the transcription of ARG1 and TGF-? in BM-derived MDSCs, and further inhibited the protein expression of ARG1 (Figures 4G?J).	tmkp:f112c20974467a433eb52b826674acf5ccb9d2d8c1e50018819cf7e516545fb3	[18, 20]	[52, 56]	0.9996815	2021	RESULTS	True	yes	True	True	The sentence mentions 'HT', a common abbreviation for hydroxytyrosol, and 'ARG1', the gene encoding arginase‑1. It states that HT inhibited the transcription and protein expression of ARG1, which is a direct effect, satisfying the 'affects' predicate.	13.035088539123535
UniProtKB:O75116	ROCK2_HUMAN Rho-associated protein kinase 2 (sprot)	biolink:affects	UniProtKB:Q13464	ROCK1_HUMAN Rho-associated protein kinase 1 (sprot)	ROCK2 siRNA inhibited GTIIC reporter activity in both H2052 and 211H cells, but ROCK1 siRNA only inhibited activity in H2052 cells.	tmkp:6df1399631d2eac86feb0e00b8ae3193852fcad68fa868b29da9a094d0bcedcb	[0, 5]	[80, 85]	0.9971625	2017	DISCUSS	False	no	True	True	The text mentions ROCK2 and ROCK1, but describes the effects of their respective siRNA knockdowns on a reporter assay, not a direct effect of ROCK2 on ROCK1. Therefore it does not support the predicate 'affects' between the two proteins.	12.05461573600769
DRUGBANK:DB11300	Thrombin	biolink:affects	UniProtKB:P02741	CRP_HUMAN C-reactive protein (sprot)	In the present investigation, CRP was found by direct assay to inhibit the release of endogenous ADP and/or serotonin concomitant with inhibition of platelet aggregation stimulated by ADP, epinephrine, thrombin, and AHGG.	tmkp:b8467da126598b747df467546563d0fd5445570f39aaa954cc744a8c6a1eec38	[202, 210]	[30, 33]	0.9997185	1977	abstract	False	no	True	True	The text mentions both CRP and thrombin, but it describes CRP inhibiting platelet aggregation that is stimulated by thrombin. It does not state that thrombin has an effect on CRP, so the required 'thrombin affects CRP' relationship is not supported.	12.267042398452759
DRUGBANK:DB02116	Olomoucine	biolink:treats_or_applied_or_studied_to_treat	MONDO:0005108	viral infectious disease	At 24 h post-infection, both cidofovir and olomoucine II inhibited the production of infectious virus, reducing virus yields by 2 and 5 log (log10 PFU), respectively.	tmkp:3efee5e4ccb2a3b1ee721991bb29feb8ece443d8cc7ee593bb40904083e2fd0e	[43, 53]	[96, 101]	0.6487565397324803	2010	RESULTS	False	no	True	False	The text mentions olomoucine (as olomoucine II) inhibiting virus production, but it does not explicitly mention a viral infectious disease or any of its synonyms. Since both the drug and the disease must be referenced to support a treatment relationship, the evidence is insufficient.	18.468154430389404
DRUGBANK:DB00928	Azacitidine	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004743	hyperhomocysteinemia	Furthermore, to acquire evidence explaining the role of DNA methylation during HHcy in the expression of RANKL and OPG, we administered DNA methylation inhibitor 5-azacytidine (5?-Aza) which specifically inhibits DNMTs in HHcy mice.	tmkp:70a96a823fdd054bf2a123c03f42b9fc5c3ab467f7dad5d784687838917b57b7	[162, 175]	[222, 226]	0.8621246145435977	2018	DISCUSS	False	maybe	True	True	The text mentions 5-azacytidine (azacitidine) and HHcy (hyperhomocysteinemia) and describes its administration in HHcy mice, but it does not explicitly state that azacitidine is being used to treat hyperhomocysteinemia; it is used to study DNA methylation effects, making the treatment relationship uncertain.	25.73530149459839
DRUGBANK:DB00908	Quinidine	biolink:affects	UniProtKB:Q96EB6	SIR1_HUMAN NAD-dependent protein deacetylase sirtuin-1 (sprot)	Based on in silico and in vitro study results, mulberin, gartanin, quinidine, and quinine had good activity as SIRT1 activators.	tmkp:57e53e61665f8083cad7b3cd7b35515f7be14a00fde680dbfb0a3099e3b02b6f	[67, 76]	[111, 116]	0.99945885	2019	abstract	True	yes	True	True	The sentence explicitly states that quinidine (the subject) had good activity as a SIRT1 activator, indicating it directly affects SIRT1 (the object). Both entities are mentioned by their equivalent names.	8.653820514678955
DRUGBANK:DB00313	Valproic acid	biolink:treats_or_applied_or_studied_to_treat	MONDO:0020320	acute myeloblastic leukemia with maturation	Phase I study of decitabine alone or in combination with valproic acid in acute myeloid leukemia.	tmkp:96743a64a7461ee36615ee6c4faa6621e1c13ad1a028cf6e00e579242ea9b44e	[57, 70]	[74, 96]	0.7043631118203862	2015	reference	False	no	True	False	The text mentions valproic acid and acute myeloid leukemia, but does not specifically mention acute myeloblastic leukemia with maturation (the exact disease in the triple). Both entities must be explicitly present to support the treatment relationship.	13.835565567016602
DRUGBANK:DB03568	Butyric Acid	biolink:treats_or_applied_or_studied_to_treat	HP:0031678	Atherosclerotic lesion	On the other hand, oral supplementation with butyrate is able to decrease oxidative stress in atherosclerotic lesion sites, attenuating endothelial dysfunction and macrophage migration and activation in ApoE?/? mice.	tmkp:81abb1d649b7f280ef822e44ac4dc2f34508dbdda114bcf15b297ccaf185af39	[45, 53]	[94, 116]	0.9994553	2020	INTRO	True	yes	True	True	The text mentions 'butyrate' (synonym of butyric acid) and 'atherosclerotic lesion sites', and states that oral supplementation with butyrate decreases oxidative stress in those lesions, indicating a studied therapeutic effect on the condition.	6.962833404541016
DRUGBANK:DB11666	Buparlisib	biolink:treats_or_applied_or_studied_to_treat	MONDO:0700079	hormone receptor-positive breast cancer	In a phase III trial in patients with hormone receptor-positive breast cancer, buparlisib in combination with fulvestrant showed that the addition of a PI3K inhibitor improved outcomes; however, toxicities in the buparlisib arm limited the treatment duration and intensity.	tmkp:73be2ae27301a66c3ac2403f1ac7a5553404be274734db0a27c0ee25eadba001	[79, 89]	[38, 77]	0.9993175	2020	DISCUSS	True	yes	True	True	The sentence explicitly mentions buparlisib and hormone receptor-positive breast cancer, describing a phase III trial that evaluated buparlisib (in combination) as a treatment, which satisfies the 'studied to treat' predicate.	11.155348777770996
DRUGBANK:DB13518	Alginic acid	biolink:treats_or_applied_or_studied_to_treat	MONDO:0001220	hypoparathyroidism	In the present study, we demonstrated that TMSCs-based microbeads fabricated with a natural compound, alginic acid, are biocompatible, nontoxic, and implantable in the treatment of hypoparathyroidism.	tmkp:c46a33ab9ece11e70caec0aee1e65b01a262fbd41720588e2b90d28a6f729499	[102, 114]	[181, 199]	0.7637476936069	2022	CONCL	True	yes	True	True	The sentence explicitly states that alginic acid (the subject) is used in microbeads for the treatment of hypoparathyroidism (the object), indicating it is studied/applied to treat the disease.	8.91043210029602
